Name,Lat,Long
Ponce,18.0111,-66.6141
Culebra,18.31694,-65.29
Vieques,18.117,-65.417
Ceiba,18.23806,-65.62778
Fajardo,18.32583,-65.6525
Luquillo,18.3725,-65.71667
Naguabo,18.21944,-65.73667
Humacao,18.14972,-65.8275
Río Grande,18.38028,-65.83139
Las Piedras,18.18306,-65.86639
Loíza,18.41972,-65.87306
Yabucoa,18.05056,-65.87944
Maunabo,18.00694,-65.89917
Canóvanas,18.37917,-65.90139
Juncos,18.2275,-65.92111
Carolina,18.40611,-65.96722
San Lorenzo,18.19,-65.96861
Gurabo,18.25444,-65.97306
Patillas,18.00639,-66.01583
Trujillo Alto,18.36278,-66.0175
Caguas,18.23139,-66.03944
Arroyo,17.96583,-66.06139
San Juan,18.40639,-66.06389
Guaynabo,18.36667,-66.1
Aguas Buenas,18.25694,-66.10306
Guayama,17.97417,-66.11
Cataño,18.445,-66.11778
Cidra,18.17583,-66.16139
Bayamón,18.38,-66.16333
Cayey,18.11167,-66.16583
Comerío,18.21806,-66.22611
Naranjito,18.30083,-66.245
Toa Alta,18.38833,-66.24833
Toa Baja,18.44389,-66.25972
Aibonito,18.14,-66.26611
Dorado,18.45889,-66.26778
Salinas,17.9774659,-66.297946
Barranquitas,18.18667,-66.30639
Corozal,18.34167,-66.31694
Vega Alta,18.41222,-66.33139
Coamo,18.08,-66.35806
Vega Baja,18.44611,-66.3875
Orocovis,18.22694,-66.39111
Santa Isabel,17.96611,-66.405
Morovis,18.33333,-66.41667
Ciales,18.33611,-66.46889
Manatí,18.4325,-66.48444
Villalba,18.12722,-66.49222
Juana Díaz,18.0525,-66.50667
Barceloneta,18.45056,-66.53861
Florida,18.36361,-66.57139
Jayuya,18.21861,-66.59167
Arecibo,18.375,-66.625
Utuado,18.26556,-66.70056
Adjuntas,18.16278,-66.72222
Peñuelas,18.05944,-66.7225
Guayanilla,18.01917,-66.79194
Hatillo,18.48639,-66.82556
Camuy,18.48389,-66.845
Yauco,18.03694,-66.85028
Lares,18.295,-66.87861
Guánica,17.97167,-66.90806
Quebradillas,18.47389,-66.93861
Sabana Grande,18.07972,-66.96083
Maricao,18.18083,-66.98
San Sebastián,18.33722,-66.99056
Las Marías,18.25139,-66.99333
San Germán,18,-67
Lajas,18.05194,-67.05972
Isabela,18.51306,-67.07
Moca,18.39472,-67.11333
Hormigueros,18.13972,-67.1275
Añasco,18.31611,-67.13972
Mayagüez,18.20111,-67.13972
Cabo Rojo,18.08667,-67.14583
Aguadilla,18.43,-67.15444
Aguada,18.37944,-67.18833
Rincón,18.34028,-67.25167